clean_comment,BATTERY_Negative,BATTERY_Neutral,BATTERY_Positive,CAMERA_Negative,CAMERA_Neutral,CAMERA_Positive,DESIGN_Negative,DESIGN_Neutral,DESIGN_Positive,FEATURES_Negative,FEATURES_Neutral,FEATURES_Positive,GENERAL_Negative,GENERAL_Neutral,GENERAL_Positive,PERFORMANCE_Negative,PERFORMANCE_Neutral,PERFORMANCE_Positive,PRICE_Negative,PRICE_Neutral,PRICE_Positive,SCREEN_Negative,SCREEN_Neutral,SCREEN_Positive,SER&ACC_Negative,SER&ACC_Neutral,SER&ACC_Positive,STORAGE_Negative,STORAGE_Neutral,STORAGE_Positive
mới mua máy này tại thegioididong thốt nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf_khỏe sóng ổn_định giá_thành vừa với túi_tiền nhân_viên tư_vấn nhiệt_tình,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
pin kém còn lại miễn_chê mua 8 3 2019 tình_trạng pin còn 88 có ai giống tôi không,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sao lúc gọi điện_thoại màn_hình bị chấm nhỏ nháy gần camera trước vậy lúc có lúc không,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mọi người cập_nhật phần_mềm lại nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng ok nhưng vân tay ko nhạy,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mới mua sài được 1 tháng thấy pin rất trâu sài bao_mượt nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu_ko biết sao nó ko nghe được nữa mất rút tai nghe_ra cắm vào lại thì nó mới nghe được,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
xài tốt rất mượt_pin trâu nếu các bạn để độ sáng vừa đủ nhân_viên nhiệt_tình vui_vẻ nói_chung là tầm_giá này thì máy này là quá tốt rồi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
mình mới xài được 7 tháng xuống 7 pin chả hiểu máy mới kiểu gì nữa dùng cơ_bản lướt_web cơ_bản game ko chơi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hôm_qua ngày 23 6 2020 e ra thế_giới di_động mua chiếc dthoai galaxy a51 lúc đầu bên cửa_hàng báo_giá 7 790 00 đ được tặng phiếu mua hàng 250 k lúc thanh_toán thì nhân_viên lại thanh_toán 7 990 000 đ không có phiếu mua hàng đi 20 km xuống mua thoai tối về đến nhà nhân_viên mới gọi đến có xin_lỗi vì sai_xót và bảo mình xuống đó nhận phiếu mua hàng 250 k chán quá đúng là làm mất thời_gian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tại_sao điện_thoại mới mà sạc nó nóng_máy lên quá trời t đã tắt tất_cả mạng ứng_dung game và cấm ko cho chạy nền cũng ko vừa sạc vừa dùng mà điện_thoại nóng quá trời sạc 3 tiếng mới đầy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lúc đầu_định mua samsung vào shop nhân_viên tư_vấn oppo a9 thất_vọng thực_sự khi dùng oppo màn_hình hiển_thị tối_om máy chơi game giật_lang khó_chịu vl_sạc thì lâu_k bao_giờ dungg oppo nữa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
